,experiment,grsamplingyear,grplant,grinoc,DNAngperml,sampleID,num_OTUs,grinocyear,tray
X1_2014,greenroof,2014,rockprairie,inoculated,22444.3,S30,31,inoculated 2014,X1_
X1_2016,greenroof,2016,rockprairie,inoculated,30644.3,S65,47,inoculated 2016,X1_
X10_2014,greenroof,2014,rockprairie,control,26933.7,S44,20,control 2014,X10
X10_2016,greenroof,2016,rockprairie,control,24311,S59,21,control 2016,X10
X11_2014,greenroof,2014,sandprairie,inoculated,25000,S27,22,inoculated 2014,X11
X11_2016,greenroof,2016,sandprairie,inoculated,28133.3,S50,44,inoculated 2016,X11
X12_2014,greenroof,2014,sandprairie,inoculated,27178,S36,31,inoculated 2014,X12
X12_2016,greenroof,2016,sandprairie,inoculated,21933.7,S78,30,inoculated 2016,X12
X13_2014,greenroof,2014,sandprairie,inoculated,30400.3,S43,46,inoculated 2014,X13
X13_2016,greenroof,2016,sandprairie,inoculated,21955.7,S51,35,inoculated 2016,X13
X14_2014,greenroof,2014,sandprairie,inoculated,19933.3,S41,26,inoculated 2014,X14
X14_2016,greenroof,2016,sandprairie,inoculated,18244.3,S46,45,inoculated 2016,X14
X15_2014,greenroof,2014,sandprairie,inoculated,22355.3,S17,20,inoculated 2014,X15
X15_2016,greenroof,2016,sandprairie,inoculated,19977.7,S61,45,inoculated 2016,X15
X16_2014,greenroof,2014,sandprairie,control,18578,S10,26,control 2014,X16
X16_2016,greenroof,2016,sandprairie,control,28822.3,S62,24,control 2016,X16
X17_2014,greenroof,2014,sandprairie,control,26600,S33,18,control 2014,X17
X17_2016,greenroof,2016,sandprairie,control,28778,S56,42,control 2016,X17
X18_2014,greenroof,2014,sandprairie,control,19688.7,S15,12,control 2014,X18
X18_2016,greenroof,2016,sandprairie,control,11022.3,S60,15,control 2016,X18
X19_2014,greenroof,2014,sandprairie,control,32866.7,S5,31,control 2014,X19
X19_2016,greenroof,2016,sandprairie,control,22155.7,S63,30,control 2016,X19
X2_2014,greenroof,2014,rockprairie,inoculated,NA,S24,29,inoculated 2014,X2_
X2_2016,greenroof,2016,rockprairie,inoculated,32178,S55,42,inoculated 2016,X2_
